Acteurs	Adresses	Latitudes	Longitudes
Adrets de l’Estérel (Les)	Les Adrets-de-l'Estérel-l'Église, Les Adrets-de-l'Estérel, Var, Provence-Alpes-Côte d'Azur, FRA	43.526500000000055	6.838360000000023
Aiguines	Aiguines, Var, Provence-Alpes-Côte d'Azur, FRA	43.77603000000005	6.243010000000027
Ampus	Ampus, Var, Provence-Alpes-Côte d'Azur, FRA	43.60566000000006	6.38199000000003
Artignosc sur Verdon	Artignosc-sur-Verdon, Var, Provence-Alpes-Côte d'Azur, FRA	43.703140000000076	6.090780000000052
Artigues	Artigues, Var, Provence-Alpes-Côte d'Azur, FRA	43.592910000000074	5.8104300000000535
Artigues	Artigues, Varès, Lot-et-Garonne, Nouvelle-Aquitaine, FRA	44.412600000000054	0.35577000000006365
Aups	Aups, Var, Provence-Alpes-Côte d'Azur, FRA	43.626540000000034	6.223780000000033
Bagnols en Forêt	Bagnols-en-Forêt, Var, Provence-Alpes-Côte d'Azur, FRA	43.53886000000006	6.696060000000045
Bandol	Bandol, Var, Provence-Alpes-Côte d'Azur, FRA	43.13620000000003	5.753320000000031
Bargème	Bargème, Var, Provence-Alpes-Côte d'Azur, FRA	43.72938000000005	6.573510000000056
Bargemon	Bargemon, Var, Provence-Alpes-Côte d'Azur, FRA	43.61957000000007	6.550790000000063
Barjols	Barjols, Var, Provence-Alpes-Côte d'Azur, FRA	43.55940000000004	6.005550000000028
Bastide (La)	La Bastide, Var, Provence-Alpes-Côte d'Azur, FRA	43.73550000000006	6.624650000000031
Baudinard sur Verdon	Baudinard-sur-Verdon, Var, Provence-Alpes-Côte d'Azur, FRA	43.71646000000004	6.13399000000004
Bauduen	Bauduen, Var, Provence-Alpes-Côte d'Azur, FRA	43.734740000000045	6.173330000000021
Beausset (Le)	Le Beausset, Var, Provence-Alpes-Côte d'Azur, FRA	43.19595000000004	5.800170000000037
Belgentier	Belgentier, Var, Provence-Alpes-Côte d'Azur, FRA	43.244860000000074	6.000440000000026
Besse sur Issole	Besse-sur-Issole, Var, Provence-Alpes-Côte d'Azur, FRA	43.34898000000004	6.1782100000000355
Bormes les Mimosas	Bormes-les-Mimosas, Var, Provence-Alpes-Côte d'Azur, FRA	43.149320000000046	6.3423100000000545
Bourguet (Le)	Le Bourguet, Var, Provence-Alpes-Côte d'Azur, FRA	43.78332000000006	6.51872000000003
Bras	Bras, Var, Provence-Alpes-Côte d'Azur, FRA	43.470390000000066	5.9574700000000576
Brenon	Brenon, Var, Provence-Alpes-Côte d'Azur, FRA	43.76571000000007	6.543260000000032
Brignolles	Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.406120000000044	6.065510000000074
Brue Auriac	Brue-Auriac, Var, Provence-Alpes-Côte d'Azur, FRA	43.52735000000007	5.944840000000056
Cabasse	Cabasse, Var, Provence-Alpes-Côte d'Azur, FRA	43.42700000000008	6.221030000000042
Cabasse	Cabasse, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.35000000000008	6.650000000000034
Cadière d’Azur (La)	La Cadière-d'Azur, Var, Provence-Alpes-Côte d'Azur, FRA	43.195070000000044	5.755210000000034
Callas	Callas, Var, Provence-Alpes-Côte d'Azur, FRA	43.592340000000036	6.539130000000057
Callian	Callian, Var, Provence-Alpes-Côte d'Azur, FRA	43.62301000000008	6.7532300000000305
Camps la Source	Camps-la-Source, Var, Provence-Alpes-Côte d'Azur, FRA	43.385890000000074	6.097210000000075
Cannet des Maures (Le)	Le Cannet-des-Maures, Var, Provence-Alpes-Côte d'Azur, FRA	43.391860000000065	6.34406000000007
Carcès	Carcès, Var, Provence-Alpes-Côte d'Azur, FRA	43.475490000000036	6.182040000000029
Carnoules	Carnoules, Var, Provence-Alpes-Côte d'Azur, FRA	43.30248000000006	6.189100000000053
Carqueiranne	Carqueiranne, Var, Provence-Alpes-Côte d'Azur, FRA	43.09417000000008	6.074440000000038
Castellet (Le)	Le Castellet, Var, Provence-Alpes-Côte d'Azur, FRA	43.20193000000006	5.77762000000007
Castellet (Le)	Le Castellet, Villecroze, Var, Provence-Alpes-Côte d'Azur, FRA	43.57826000000006	6.257180000000062
Castellet (Le)	Le Castellet, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.252000000000066	5.786000000000058
Cavalaire sur Mer	Cavalaire-sur-Mer, Var, Provence-Alpes-Côte d'Azur, FRA	43.173020000000065	6.5318600000000515
Celle (La)	La Celle, Var, Provence-Alpes-Côte d'Azur, FRA	43.39402000000007	6.040080000000046
Châteaudouble	Châteaudouble, Var, Provence-Alpes-Côte d'Azur, FRA	43.59910000000008	6.450290000000052
Châteauvert	Châteauvert, Var, Provence-Alpes-Côte d'Azur, FRA	43.49950000000007	6.025860000000023
Châteauvert	Châteauvert, La Londe-les-Maures, Var, Provence-Alpes-Côte d'Azur, FRA	43.140210000000025	6.239540000000034
Châteauvieux	Châteauvieux, Var, Provence-Alpes-Côte d'Azur, FRA	43.77649000000008	6.579710000000034
Châteauvieux	Châteauvieux, La Motte, Var, Provence-Alpes-Côte d'Azur, FRA	43.53201000000007	6.541120000000035
Claviers	Claviers, Var, Provence-Alpes-Côte d'Azur, FRA	43.601960000000076	6.561230000000023
Cogolin	Cogolin, Var, Provence-Alpes-Côte d'Azur, FRA	43.25227000000007	6.534650000000056
Collobrières	Collobrières, Var, Provence-Alpes-Côte d'Azur, FRA	43.23684000000003	6.307710000000043
Comps sur Artuby	Comps-sur-Artuby, Var, Provence-Alpes-Côte d'Azur, FRA	43.70953000000003	6.508610000000033
Correns	Correns, Var, Provence-Alpes-Côte d'Azur, FRA	43.48715000000004	6.080660000000023
Cotignac	Cotignac, Var, Provence-Alpes-Côte d'Azur, FRA	43.52462000000003	6.149920000000066
Crau (La)	La Crau, Var, Provence-Alpes-Côte d'Azur, FRA	43.14835000000005	6.073830000000044
Croix Valmer (La)	La Croix-Valmer, Var, Provence-Alpes-Côte d'Azur, FRA	43.20891000000006	6.569370000000049
Cuers	Cuers, Var, Provence-Alpes-Côte d'Azur, FRA	43.237340000000074	6.07209000000006
Draguignan	Draguignan, Var, Provence-Alpes-Côte d'Azur, FRA	43.539810000000045	6.463610000000074
Entrecasteaux	Entrecasteaux, Var, Provence-Alpes-Côte d'Azur, FRA	43.514230000000055	6.243360000000052
Esparron de Pallières	Les Pallières, Varages, Var, Provence-Alpes-Côte d'Azur, FRA	43.57512000000003	5.921510000000069
Evenos	Évenos, Var, Provence-Alpes-Côte d'Azur, FRA	43.164210000000026	5.845860000000073
Farlède (La)	La Farlède, Var, Provence-Alpes-Côte d'Azur, FRA	43.167260000000056	6.042880000000025
Fayence	Fayence, Var, Provence-Alpes-Côte d'Azur, FRA	43.622010000000046	6.690980000000025
Fayence	Fayence, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.60900000000004	6.703000000000031
Figanières	Figanières, Var, Provence-Alpes-Côte d'Azur, FRA	43.568610000000035	6.497210000000052
Flassans sur Issole	Flassans-sur-Issole, Var, Provence-Alpes-Côte d'Azur, FRA	43.370160000000055	6.224050000000034
Flayosc	Flayosc, Var, Provence-Alpes-Côte d'Azur, FRA	43.53459000000004	6.394220000000075
Forcalqueiret	Forcalqueiret, Var, Provence-Alpes-Côte d'Azur, FRA	43.33719000000008	6.081300000000056
Fox Amphoux	Fox-Amphoux, Var, Provence-Alpes-Côte d'Azur, FRA	43.58570000000003	6.101690000000076
Fréjus	Fréjus, Var, Provence-Alpes-Côte d'Azur, FRA	43.43265000000008	6.7316900000000714
Garde (La)	La Garde, Var, Provence-Alpes-Côte d'Azur, FRA	43.12486000000007	6.009790000000066
Garde Freinet (La)	La Garde-Freinet, Var, Provence-Alpes-Côte d'Azur, FRA	43.31782000000004	6.469900000000052
Garéoult	Garéoult, Var, Provence-Alpes-Côte d'Azur, FRA	43.32757000000004	6.045660000000055
Gassin	Gassin, Var, Provence-Alpes-Côte d'Azur, FRA	43.230950000000064	6.585410000000024
Gassin	Gassin, Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21995000000004	6.602250000000026
Ginasservis	Ginasservis, Var, Provence-Alpes-Côte d'Azur, FRA	43.66990000000004	5.848780000000033
Gonfaron	Gonfaron, Var, Provence-Alpes-Côte d'Azur, FRA	43.32013000000006	6.288350000000037
Grimaud, Port Grimaud	Port-Grimaud, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.26883000000004	6.574710000000039
Grimaud, Port Grimaud	Boulevard de Grimaud, 83310, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.29343721596871	6.608563207171061
Grimaud, Port Grimaud	Les Jardins de Grimaud, 83310, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.265900195568186	6.540147692518965
Grimaud, Port Grimaud	Les Bastides de Grimaud, 83310, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.27167525205408	6.512547835159177
Hyères, Porquerolles	Porquerolles, Rue François-Joseph Fournier, 83400, La Tour Fondue, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.02875000000006	6.1553800000000365
Hyères, Porquerolles	Avenue de Porquerolles, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.03293756229149	6.148602511215994
Hyères, Porquerolles	Avenue de Porquerolles, 83400, La Tour Fondue, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.029775805336364	6.155018368132283
Lavandou (Le)	Le Lavandou, Var, Provence-Alpes-Côte d'Azur, FRA	43.138990000000035	6.370810000000063
Londe les Maures (La)	La Londe-les-Maures, Var, Provence-Alpes-Côte d'Azur, FRA	43.138870000000054	6.237520000000075
Lorgues	Lorgues, Var, Provence-Alpes-Côte d'Azur, FRA	43.49246000000005	6.359960000000058
Luc (Le)	Le Luc, Var, Provence-Alpes-Côte d'Azur, FRA	43.39498000000003	6.314100000000053
Martre (La)	La Martre, Var, Provence-Alpes-Côte d'Azur, FRA	43.77085000000005	6.599900000000048
Mayons	Les Mayons, Var, Provence-Alpes-Côte d'Azur, FRA	43.31591000000003	6.356610000000046
Mayons	Les Mayons, La Bastide, Var, Provence-Alpes-Côte d'Azur, FRA	43.73720000000003	6.624050000000068
Mazaugues	Mazaugues, Var, Provence-Alpes-Côte d'Azur, FRA	43.347210000000075	5.922070000000076
Méounes lès Montrieux	Méounes-lès-Montrieux, Var, Provence-Alpes-Côte d'Azur, FRA	43.28300000000007	5.9708400000000665
Moissac  Bellevue	Moissac-Bellevue, Var, Provence-Alpes-Côte d'Azur, FRA	43.65354000000008	6.166600000000074
Môle (La)	La Môle, Var, Provence-Alpes-Côte d'Azur, FRA	43.20804000000004	6.464920000000063
Mons	Mons, Var, Provence-Alpes-Côte d'Azur, FRA	43.692540000000065	6.7138400000000615
Montfort sur Argens	Montfort-sur-Argens, Var, Provence-Alpes-Côte d'Azur, FRA	43.47242000000006	6.125850000000071
Montauroux	Montauroux, Var, Provence-Alpes-Côte d'Azur, FRA	43.61802000000006	6.764850000000024
Montferrat	Montferrat, Var, Provence-Alpes-Côte d'Azur, FRA	43.61112000000003	6.4802400000000375
Montmeyan	Montmeyan, Var, Provence-Alpes-Côte d'Azur, FRA	43.64803000000006	6.063820000000021
Motte (La)	La Motte, Var, Provence-Alpes-Côte d'Azur, FRA	43.493570000000034	6.534510000000068
Muy (Le)	Le Muy, Var, Provence-Alpes-Côte d'Azur, FRA	43.47169000000008	6.566120000000069
Nans les Pïns	Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.37024000000008	5.7835000000000605
Néoules	Néoules, Var, Provence-Alpes-Côte d'Azur, FRA	43.30962000000005	6.014030000000048
Ollières	Ollières, Var, Provence-Alpes-Côte d'Azur, FRA	43.48250000000007	5.829300000000046
Ollioules	Ollioules, Var, Provence-Alpes-Côte d'Azur, FRA	43.13788000000005	5.84731000000005
Pierrefeu du Var	Pierrefeu-du-Var, Var, Provence-Alpes-Côte d'Azur, FRA	43.224000000000046	6.14623000000006
Pierrefeu du Var	Pierrefeu, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.37993138680809	5.7825653051044545
Pierrefeu du Var	Route de Pierrefeu, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.1942407610298	6.131495283089427
Pierrefeu du Var	Route de Pierrefeu, 83400, Hyères, Var, Provence-Alpes-Côte d'Azur, FRA	43.18061105857292	6.112304077476522
Pierrefeu du Var	Route de Pierrefeu, 83260, La Crau, Var, Provence-Alpes-Côte d'Azur, FRA	43.16747981564781	6.108437078239045
Pierrefeu du Var	Route de Pierrefeu, 83260, La Crau, Var, Provence-Alpes-Côte d'Azur, FRA	43.15695834527929	6.091374714199738
Pierrefeu du Var	Route de Pierrefeu, 83260, Les Martins, La Crau, Var, Provence-Alpes-Côte d'Azur, FRA	43.16474205794783	6.103981042170838
Pierrefeu du Var	Lieu-dit Pierrefeu, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.38288271670771	5.776191000000018
Pierrefeu du Var	Chemin de Pierrefeu, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.38994857094158	5.799388377630223
Pierrefeu du Var	Lieu-dit Pierrefeu, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.382610313548675	5.782568604789161
Pierrefeu du Var	Chemin de Pierrefeu, 83860, Nans-les-Pins, Var, Provence-Alpes-Côte d'Azur, FRA	43.37587900224206	5.778835591167433
Pierrefeu du Var	Lieu-dit Pierrefeu, 83340, Le Thoronet, Var, Provence-Alpes-Côte d'Azur, FRA	43.46916517227886	6.2181331112855185
Pierrefeu du Var	Lieu-dit Pierrefeu, 83570, Carcès, Var, Provence-Alpes-Côte d'Azur, FRA	43.46916517227886	6.2181331112855185
Pierrefeu du Var	Route de Pierrefeu, 83390, Puget-Ville, Var, Provence-Alpes-Côte d'Azur, FRA	43.27536299862743	6.147909420521589
Pierrefeu du Var	Route de Pierrefeu, 83390, Puget-Ville, Var, Provence-Alpes-Côte d'Azur, FRA	43.28610010694754	6.134211535497235
Pierrefeu du Var	Route de Pierrefeu, 83390, Mas de Brun, Puget-Ville, Var, Provence-Alpes-Côte d'Azur, FRA	43.28424339674023	6.13728299909225
Pignans	Pignans, Var, Provence-Alpes-Côte d'Azur, FRA	43.30053000000004	6.225610000000074
Plan d’Aups Sainte Baume	Plan-d'Aups-Sainte-Baume, Var, Provence-Alpes-Côte d'Azur, FRA	43.32671000000005	5.71294000000006
Pontevès	Pontevès, Var, Provence-Alpes-Côte d'Azur, FRA	43.55346000000003	6.030680000000075
Port Grimaud 	Port Grimaud, Département du Var, Provence-Alpes-Côte d'Azur, FRA	43.27419000000003	6.575580000000059
Port Grimaud 	Port-Grimaud, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.26883000000004	6.574710000000039
Port Grimaud 	Résidence du Port, 83310, Port-Grimaud, Grimaud, Var, Provence-Alpes-Côte d'Azur, FRA	43.27414200000001	6.5809215000000165
Pourcieux	Pourcieux, Var, Provence-Alpes-Côte d'Azur, FRA	43.469040000000064	5.786360000000059
Pourrières	Pourrières, Var, Provence-Alpes-Côte d'Azur, FRA	43.50276000000008	5.734850000000051
Pourrières	Pourrières, Sainte-Maxime, Var, Provence-Alpes-Côte d'Azur, FRA	43.38675000000006	6.562160000000063
Pourrières	Pourrières, Tanneron, Var, Provence-Alpes-Côte d'Azur, FRA	43.59999000000005	6.851540000000057
Pradet (Le)	Le Pradet, Var, Provence-Alpes-Côte d'Azur, FRA	43.10656000000006	6.022290000000055
Puget sur Argens	Puget-sur-Argens, Var, Provence-Alpes-Côte d'Azur, FRA	43.45455000000004	6.687470000000076
Puget Ville	Puget-Ville, Var, Provence-Alpes-Côte d'Azur, FRA	43.288910000000044	6.135180000000048
Ramatuelle	Ramatuelle, Var, Provence-Alpes-Côte d'Azur, FRA	43.21456000000006	6.613500000000045
Ramatuelle	Ramatuelle, Brignoles, Var, Provence-Alpes-Côte d'Azur, FRA	43.413920000000076	6.016670000000033
